Date,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_std,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus1
1751-08-31,152.0,109.5,105.5,125.7,116.7,72.5,75.5,94.0,101.2,84.5,110.5,28.08197697021268,-71.99999999999999,792.64,99.7,39.2
1751-09-30,109.5,105.5,125.7,116.7,72.5,75.5,94.0,101.2,84.5,110.5,99.7,21.059378683986754,-112.8,3776.89,39.2,38.7
1751-10-31,105.5,125.7,116.7,72.5,75.5,94.0,101.2,84.5,110.5,99.7,39.2,22.62654997760129,-70.8,3660.5,38.7,47.5
1751-11-30,125.7,116.7,72.5,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,26.80228405482554,-58.0,77.68999999999996,47.5,73.3
1751-12-31,116.7,72.5,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,28.502118585973378,-52.400000000000006,743.0799999999998,73.3,58.3
1752-01-31,72.5,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,25.61761953335156,-58.400000000000006,890.6399999999999,58.3,83.3
1752-02-29,75.5,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,23.540253644909324,10.799999999999997,850.0,83.3,118.3
1752-03-31,94.0,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,23.64991631415779,42.8,1850.0,118.3,98.8
1752-04-30,101.2,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,26.44672186155067,4.799999999999997,1605.25,98.8,99.5
1752-05-31,84.5,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,26.70497638809832,-1.7000000000000028,380.74,99.5,66.0
1752-06-30,110.5,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,26.59345157490217,-18.5,1122.74,66.0,130.7
1752-07-31,99.7,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,26.782875696152484,20.19999999999999,5308.339999999998,130.7,48.8
1752-08-31,39.2,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,29.303966123300707,-50.900000000000006,10893.699999999997,48.8,45.2
1752-09-30,38.7,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,29.74513965899863,6.0,6720.569999999999,45.2,77.7
1752-10-31,47.5,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,29.180872730837457,39.0,1069.21,77.7,62.7
1752-11-30,73.3,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,26.966846929764205,15.200000000000003,1281.25,62.7,66.7
1752-12-31,58.3,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,25.79120758880609,-6.599999999999994,241.0,66.7,73.3
1753-01-31,83.3,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,26.002350321119476,15.0,59.559999999999924,73.3,53.3
1753-02-28,118.3,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,25.296107517868347,-30.0,443.55999999999995,53.3,76.2
1753-03-31,98.8,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,26.395575176322428,-42.099999999999994,924.4100000000003,76.2,63.3
1753-04-30,99.5,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,23.500441780717416,-35.5,690.8200000000004,63.3,60.0
1753-05-31,66.0,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,22.52067568554135,-39.5,177.30000000000013,60.0,52.8
1753-06-30,130.7,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,21.094922704027354,-13.200000000000003,62.73000000000002,52.8,36.7
1753-07-31,48.8,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,21.544235823584508,-93.99999999999999,311.04999999999984,36.7,65.0
1753-08-31,45.2,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,12.243646311454771,16.200000000000003,1060.0999999999997,65.0,46.7
1753-09-30,77.7,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,11.851450333187074,1.5,1135.7799999999997,46.7,41.7
1753-10-31,62.7,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,11.690166808048549,-36.0,359.8899999999999,41.7,33.3
1753-11-30,66.7,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,11.690166808048549,-29.400000000000006,95.5600000000001,33.3,11.2
1753-12-31,73.3,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,13.44014508850258,-55.5,558.97,11.2,0.0
1754-01-31,53.3,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,17.738288389808076,-73.3,613.8499999999999,0.0,5.0
1754-02-28,76.2,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,21.31129721272004,-48.3,150.44,5.0,2.8
1754-03-31,63.3,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,23.78439468549821,-73.4,29.84,2.8,22.8
1754-04-30,60.0,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,23.378021195131122,-40.5,404.84,22.8,34.5
1754-05-31,52.8,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,21.90798941025853,-25.5,536.89,34.5,44.5
1754-06-30,36.7,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,20.211553008118898,-8.299999999999997,236.89,44.5,31.3
1754-07-31,65.0,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,19.528561703879326,-5.400000000000002,274.24,31.3,20.5
1754-08-31,46.7,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,19.400443866628986,-44.5,290.88,20.5,13.7
1754-09-30,41.7,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,15.967473448649706,-33.0,162.88000000000002,13.7,40.2
1754-10-31,33.3,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,14.703238022059404,-1.5,748.4900000000002,40.2,22.0
1754-11-30,11.2,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,14.538770007580881,-11.299999999999997,1033.4900000000002,22.0,7.0
1754-12-31,0.0,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,14.113436761548275,-4.199999999999999,556.2400000000001,7.0,17.0
1755-01-31,5.0,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,14.394180440565401,17.0,325.0,17.0,18.7
1755-02-28,2.8,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,13.09911733667578,13.7,102.89,18.7,11.3
1755-03-31,22.8,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,12.149954275176878,8.5,57.64999999999998,11.3,10.8
1755-04-30,34.5,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,11.164312562804751,-12.0,55.00999999999998,10.8,0.0
1755-05-31,44.5,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,11.71716155901249,-34.5,116.89000000000001,0.0,0.0
1755-06-30,31.3,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,12.646442187429631,-44.5,116.64000000000001,0.0,14.3
1755-07-31,20.5,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,11.297747440185686,-17.0,204.49,14.3,5.3
1755-08-31,13.7,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,10.31908628060967,-15.2,285.49,5.3,29.7
1755-09-30,40.2,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,10.4522292943765,16.0,676.3599999999999,29.7,39.5
1755-10-31,22.0,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,11.38928285226462,-0.7000000000000028,691.3999999999999,39.5,11.3
1755-11-30,7.0,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.259539165624062,-10.7,891.28,11.3,33.3
1755-12-31,17.0,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,11.062809945438314,26.299999999999997,1279.2399999999998,33.3,20.8
1756-01-31,18.7,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,12.06947481136699,3.8000000000000007,640.2499999999998,20.8,11.8
1756-02-29,11.3,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,12.14293347314945,-6.899999999999999,237.24999999999991,11.8,9.0
1756-03-31,10.8,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,12.176625490394837,-2.3000000000000007,88.84,9.0,15.7
1756-04-30,0.0,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,12.261785713707807,4.899999999999999,52.73,15.7,20.8
1756-05-31,0.0,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,12.180343340353296,20.8,70.9,20.8,21.5
1756-06-30,14.3,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,11.239152177396063,21.5,26.500000000000014,21.5,6.0
1756-07-31,5.3,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,9.923359086295102,-8.3,240.74,6.0,10.7
1756-08-31,29.7,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.526801112715422,5.3999999999999995,262.34,10.7,19.7
1756-09-30,39.5,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,10.04781278023564,-10.0,103.08999999999999,19.7,23.8
1756-10-31,11.3,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,9.542314388495534,-15.7,97.81000000000002,23.8,28.3
1756-11-30,33.3,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,7.383803596762006,17.0,37.06000000000002,28.3,15.7
1756-12-31,20.8,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,7.768687147774712,-17.599999999999998,179.01000000000005,15.7,23.5
1757-01-31,11.8,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,6.360402677678688,2.6999999999999993,219.60000000000005,23.5,35.3
1757-02-28,9.0,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,6.536749744500108,23.499999999999996,200.07999999999993,35.3,43.7
1757-03-31,15.7,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,7.983246346081412,34.7,209.8,43.7,50.0
1757-04-30,20.8,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,9.84449578303644,34.3,110.25000000000006,50.0,63.5
1757-05-31,21.5,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,12.265251277038269,42.7,221.93999999999997,63.5,21.3
1757-06-30,6.0,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,16.137488703843196,-0.1999999999999993,1963.0900000000001,21.3,41.7
1757-07-31,10.7,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,16.144785449866536,35.7,2197.0,41.7,85.5
1757-08-31,19.7,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,14.97944888468494,74.8,2334.6,85.5,66.2
1757-09-30,23.8,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,19.831974743384034,46.5,2290.93,66.2,54.2
1757-10-31,28.3,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,20.475288289925384,30.400000000000002,516.4899999999999,54.2,107.8
1757-11-30,15.7,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,19.99854682220686,79.5,3016.9599999999996,107.8,55.8
1757-12-31,23.5,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,25.956116812805416,40.099999999999994,5576.959999999999,55.8,62.7
1758-01-31,35.3,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,23.719979564821628,39.2,2751.61,62.7,86.7
1758-02-28,43.7,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,21.919871438694365,51.400000000000006,623.6100000000001,86.7,81.7
1758-03-31,50.0,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,22.22069074583916,38.0,601.0,81.7,120.5
1758-04-30,63.5,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,22.152895158170384,70.5,1530.4399999999998,120.5,77.3
1758-05-31,21.3,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,26.400989038712588,13.799999999999997,3371.6800000000003,77.3,75.0
1758-06-30,41.7,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,26.365755357196875,53.7,1871.5300000000002,75.0,73.3
1758-07-31,85.5,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,21.531583713749953,31.599999999999994,8.179999999999996,73.3,64.5
1758-08-31,66.2,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,18.91773675387436,-21.0,80.32999999999997,64.5,104.2
1758-09-30,54.2,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,19.194767443817135,38.0,1653.5300000000002,104.2,62.8
1758-10-31,107.8,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,20.23480740099978,8.599999999999994,3290.0500000000006,62.8,71.7
1758-11-30,55.8,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,19.433867559838248,-36.099999999999994,1793.1700000000005,71.7,71.7
1758-12-31,62.7,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,17.780037182813263,15.900000000000006,79.21000000000011,71.7,80.5
1759-01-31,86.7,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,16.630316610201852,17.799999999999997,77.43999999999996,80.5,73.3
1759-02-28,81.7,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,15.855604950090468,-13.400000000000006,129.28,73.3,78.0
1759-03-31,120.5,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,15.874374440868179,-3.700000000000003,73.93000000000006,78.0,78.3
1759-04-30,77.3,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,15.868627329839635,-42.2,22.180000000000028,78.3,81.7
1759-05-31,75.0,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,9.938798831962655,4.400000000000006,11.650000000000036,81.7,83.3
1759-06-30,73.3,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,10.064665915965618,8.299999999999997,14.120000000000019,83.3,85.0
1759-07-31,64.5,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,10.238689559161802,11.700000000000003,5.449999999999991,85.0,118.8
1759-08-31,104.2,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,10.401268619206451,54.3,1145.33,118.8,128.7
1759-09-30,62.8,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,14.5601315432092,24.499999999999986,1240.4499999999996,128.7,99.5
1759-10-31,71.7,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,18.61978487762114,36.7,950.6499999999992,99.5,77.2
1759-11-30,71.7,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,17.803204689668153,5.5,1349.9299999999992,77.2,95.0
1759-12-31,80.5,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,17.456899304668433,23.299999999999997,814.1299999999998,95.0,112.2
1760-01-31,73.3,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,16.820099996399808,31.700000000000003,612.6800000000001,112.2,99.2
1760-02-29,78.0,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,17.600986399126107,25.900000000000006,464.8400000000001,99.2,124.5
1760-03-31,78.3,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,16.66725623957211,46.5,809.0899999999998,124.5,97.2
1760-04-30,81.7,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,17.698061726892266,18.900000000000006,1385.3799999999997,97.2,120.0
1760-05-31,83.3,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,16.62861280711319,38.3,1265.1299999999997,120.0,80.5
1760-06-30,85.0,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,16.4476864296742,-2.799999999999997,2080.09,80.5,110.0
1760-07-31,118.8,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,16.74805958909867,25.0,2430.5,110.0,126.0
1760-08-31,128.7,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,15.893884218640686,7.200000000000003,1126.25,126.0,102.2
1760-09-30,99.5,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,16.518339975783146,-26.499999999999986,822.4399999999998,102.2,84.3
1760-10-31,77.2,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,15.016830835210646,-15.200000000000003,886.85,84.3,99.5
1760-11-30,95.0,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,15.924952032022645,22.299999999999997,551.4500000000003,99.5,101.7
1760-12-31,112.2,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,14.074316640209885,6.700000000000003,235.88000000000008,101.7,116.7
1761-01-31,99.2,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,13.828360049791394,4.5,229.84,116.7,151.7
1761-02-28,124.5,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,14.08329388554633,52.499999999999986,1449.999999999999,151.7,134.5
1761-03-31,97.2,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,18.889773467849388,10.0,1520.8399999999988,134.5,119.5
1761-04-30,120.0,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,19.73374682843805,22.299999999999997,520.8399999999997,119.5,178.7
1761-05-31,80.5,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,19.455154986675264,58.69999999999999,3729.6399999999985,178.7,165.5
1761-06-30,110.0,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,26.7929548679416,85.0,3678.8799999999983,165.5,156.8
1761-07-31,126.0,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,27.407190611630046,46.80000000000001,249.9299999999995,156.8,151.8
1761-08-31,102.2,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,28.42127895120524,25.80000000000001,100.6899999999998,151.8,167.8
1761-09-30,84.3,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,29.148283492438377,65.60000000000001,281.0,167.8,147.8
1761-10-31,99.5,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,29.52562328818065,63.500000000000014,656.0,147.8,149.5
1761-11-30,101.7,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,25.213290146270083,50.0,402.89,149.5,76.7
1761-12-31,116.7,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,21.92826689204801,-25.0,5302.73,76.7,73.0
1762-01-31,151.7,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,26.64025254301384,-43.7,5313.529999999999,73.0,121.3
1762-02-28,134.5,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,32.36882394973424,-30.39999999999999,2346.58,121.3,76.2
1762-03-31,119.5,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,32.49965277592294,-58.3,4366.9,76.2,100.3
1762-04-30,178.7,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,36.59598110904165,-19.200000000000003,2614.8199999999993,100.3,66.5
1762-05-31,165.5,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,37.51780688330987,-112.19999999999999,1723.2499999999995,66.5,128.5
1762-06-30,156.8,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,38.30089206968075,-37.0,4986.44,128.5,56.3
1762-07-31,151.8,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,36.02408530722498,-100.50000000000001,9056.84,56.3,112.8
1762-08-31,167.8,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,37.67838589813646,-39.000000000000014,8405.09,112.8,114.2
1762-09-30,147.8,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,35.52209308616572,-53.60000000000001,3194.21,114.2,115.5
1762-10-31,149.5,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,30.540140935060094,-32.30000000000001,3.6500000000000083,115.5,129.7
1762-11-30,76.7,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,27.66650602363001,-19.80000000000001,203.32999999999967,129.7,128.7
1762-12-31,73.0,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,25.089899472806888,51.999999999999986,202.63999999999967,128.7,94.2
1763-01-31,121.3,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,25.594329884218926,21.200000000000003,1191.249999999999,94.2,53.2
1763-02-28,76.2,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,24.23282324084881,-68.1,2871.249999999999,53.2,57.0
1763-03-31,100.3,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,27.231276697128163,-19.200000000000003,1695.44,57.0,54.8
1763-04-30,66.5,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,28.973938241499418,-45.5,19.27999999999999,54.8,54.5
1763-05-31,128.5,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,31.114649104383112,-12.0,4.93000000000001,54.5,59.7
1763-06-30,56.3,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,32.11471192805911,-68.8,27.13000000000003,59.7,90.3
1763-07-31,112.8,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,31.14495232867688,34.0,963.3999999999997,90.3,44.2
1763-08-31,114.2,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,29.844174008040866,-68.6,3061.5699999999993,44.2,113.5
1763-09-30,115.5,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,31.221867336852224,-0.7000000000000028,6927.699999999999,113.5,77.2
1763-10-31,129.7,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,31.164120885331503,-38.3,6120.179999999999,77.2,101.5
1763-11-30,128.7,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,29.587595937036404,-28.19999999999999,1908.1799999999998,101.5,102.3
1763-12-31,94.2,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,26.484114735692664,-26.39999999999999,591.1299999999999,102.3,99.5
1764-01-31,53.2,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,22.998441976215116,5.299999999999997,8.479999999999979,99.5,99.5
1764-02-29,57.0,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,23.40635449094018,46.3,7.839999999999984,99.5,67.0
1764-03-31,54.8,54.5,59.7,90.3,44.2,113.5,77.2,101.5,102.3,99.5,99.5,23.204238118642607,10.0,1056.25,67.0,57.3
